card,merchant,offer,days_left,notes,category
American Express,Exxon And Mobil,"Spend $25 or more, earn $5",,,General
American Express,Barnes & Noble,"Spend $50 or more, earn $5 back",,,General
American Express,Stanley,"Spend $45 or more, earn $15 back",,,General
American Express,Exxon And Mobil,"Earn 10% back on purchases, up to a total of $20",,,General
American Express,Dyson,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,Shiseido,"Spend $180 or more, earn $45 back",,,General
American Express,Cheddar's Scratch Kitchen,"Earn +2 Membership Rewards® points per eligible dollar spent, up to 5,000 points",,,General
American Express,Brooks Brothers,"Spend $150 or more, earn $30 back",,,General
American Express,Betterhelp,"Earn 20% back on purchases, up to a total of $50",,,General
American Express,Airdoctorpro,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,Rag & Bone,"Spend $275 or more, earn $75 back",,,General
American Express,Bloomingdales,"Earn +3 Membership Rewards® points per eligible dollar spent, up to 5,000 points",,,General
American Express,Dell,"Spend $500 or more, earn $100 back",,,General
American Express,The Gps Store,"Spend $400 or more, earn $80 back",,,General
American Express,Max,"Spend $99 or more, earn $25",,,General
American Express,Sam Edelman,"Spend $125 or more, earn $25 back",,,General
American Express,Guardian Bikes,"Spend $300 or more, earn $60 back",,,General
American Express,Litter-Robot,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,Happiestbaby,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,1-800-Flowers,"Earn 20% back on purchases, up to a total of $25",,,General
American Express,Nobull,"Spend $99 or more, earn $10 back",,,General
American Express,Iherb,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,Jbl,"Earn 4% back on purchases, up to a total of $250",,,General
American Express,Save On Your Cable & Internet Bill,"Spend $50 or more, earn $5 back, up to 4 times (total of $20).",,,General
American Express,Ooni Pizza Ovens,"Spend $500 or more, earn $75 back",,,General
American Express,Wolverine,"Spend $125 or more, earn $30 back",,,General
American Express,Sur La Table,"Spend $100 or more, earn $15 back",,,General
American Express,Porsche Design,"Spend $275 or more, earn $60 back, up to 2 times (total of $120).",,,General
American Express,Gourmetgiftbaskets,"Earn 6% back on purchases, up to a total of $250",,,General
